date,company,role,industry,source,network,status,days,notes

2026-06-05,Adobe,Project Manager Intern,Tech,LinkedIn,No,Rejected,20,
2026-06-05,McKinsey & Company,Project Manager Intern,Consulting,LinkedIn,No,Screen,24,
2026-06-05,Rocket,Project Manager Intern,Tech,LinkedIn,No,Rejected,22,
2026-06-05,Siemens,Project Manager Intern,Engineering,LinkedIn,No,Rejected,21,
2026-06-05,DELTA,Project Manager Intern,Airlines,LinkedIn,No,Screen,21,
2026-06-05,National Grid,Project Manager Intern,Energy,LinkedIn,No,Interview,21,
2026-06-05,Olympus,Project Manager Intern,Healthcare,LinkedIn,No,Interview,20,
2026-06-05,Turion Space,Project Manager Intern,Aerospace,LinkedIn,No,Screen,20,
2026-06-05,Lenovo,Project Manager Intern,Tech,LinkedIn,No,Screen,15,
2026-06-05,Centene,Project Manager Intern,Healthcare,LinkedIn,No,Rejected,17,
2026-06-05,Wells Fargo,Project Manager Intern,Finance,LinkedIn,No,Rejected,12,
2026-06-05,FTI Consulting,Project Manager Intern,Consulting,LinkedIn,No,Rejected,18,
2026-06-05,Giant Spoon,Project Manager Intern,Marketing,LinkedIn,No,Rejected,15,
2026-06-05,IBM,Project Manager Intern,Tech,LinkedIn,No,Screen,5,
2026-06-05,ASML,Project Manager Intern,Engineering,LinkedIn,No,Screen,14,
2026-06-05,Verizon,Project Manager Intern,Telecom,LinkedIn,No,Rejected,7,
2026-06-05,Edward Jones,Project Manager Intern,Finance,LinkedIn,No,Interview,7,
2026-06-05,JP Morgan,Project Manager Intern,Finance,LinkedIn,No,Rejected,7,
2026-06-05,Comcast,Project Manager Intern,Telecom,LinkedIn,No,Interview,7,
2026-01-14,Amazon,Program Manager Intern,Tech,LinkedIn,No,Screen,12,
2026-01-20,Microsoft,Product Ops Intern,Tech,LinkedIn,No,None,,
2026-02-03,Google,Business Analyst Intern,Tech,LinkedIn,No,None,,
2026-02-10,Meta,Product Ops Intern,Tech,LinkedIn,No,Rejected,14,sss
